,CGA,students
0,3.4,50001974
1,2.436,50002262
2,2.831,50003058
3,2.28,50003345
4,2.742,50003636
5,2.9,50004426
6,2.717,50005726
7,3.268,50007000
8,3.092,50008052
9,2.706,50009590
10,3.006,50012619
11,3.075,50014147
12,3.143,50014754
13,3.639,50015421
14,2.941,50015996
15,2.885,50016950
16,3.0,50017149
17,3.231,50017368
18,3.343,50017472
19,2.548,50017687
20,2.947,50018550
21,3.253,50019165
22,3.344,50019524
23,3.325,50019799
24,3.078,50020110
25,2.491,50023261
26,2.406,50024072
27,2.51,50024507
28,2.525,50024865
29,2.807,50025325
30,2.857,50026060
31,3.051,50026699
32,3.794,50026891
33,3.619,50030320
34,3.479,50031005
35,2.577,50032781
36,3.078,50034373
37,2.756,50034485
38,2.611,50034686
39,4.005,50034818
40,3.459,50036084
41,3.604,50037285
42,2.881,50038383
43,2.734,50038786
44,2.765,50042443
45,2.532,50043728
46,3.054,50044769
47,3.21,50047678
48,2.761,50048233
49,2.648,50048719
50,1.751,50048807
51,3.897,50050583
52,2.975,50050860
53,1.909,50053598
54,3.592,50054332
55,3.819,50055680
56,2.435,50057475
57,1.983,50057761
58,3.812,50057974
59,2.914,50059026
60,3.253,50059497
61,3.573,50059889
62,2.979,50059956
63,2.966,50061954
64,3.201,50063741
65,2.928,50063742
66,3.071,50064038
67,3.162,50064380
68,3.268,50065804
69,2.349,50065880
70,3.127,50067218
71,4.125,50068497
72,2.458,50069787
73,2.391,50069874
74,3.274,50070434
75,2.911,50070824
76,3.719,50072597
77,3.384,50075068
78,2.702,50075162
79,4.114,50076022
80,1.935,50076305
81,1.571,50076563
82,2.471,50077290
83,3.15,50077345
84,2.929,50077513
85,2.855,50078154
86,2.336,50078540
87,2.947,50084125
88,3.455,50085021
89,2.691,50085541
90,3.79,50086362
91,3.819,50086912
92,3.145,50087009
93,2.418,50087750
94,3.74,50088649
95,2.468,50088820
96,3.255,50089461
97,2.362,50091231
98,2.315,50091726
99,2.573,50091745
100,3.881,50093779
101,2.742,50094048
102,2.709,50095176
103,2.556,50096256
104,3.783,50096417
105,3.04,50096446
106,2.432,50098839
107,2.62,50098992
108,3.148,50099001
109,2.05,50099824
110,2.37,50100276
111,2.345,50100793
112,2.04,50102489
113,2.38,50104947
114,3.644,50105422
115,3.045,50111453
116,2.549,50111516
117,3.512,50112212
118,2.803,50112494
119,2.608,50113925
120,3.517,50116831
121,2.533,50117422
122,3.217,50117676
123,2.893,50117700
124,2.15,50119179
125,2.546,50121599
126,2.265,50121889
127,2.316,50122448
128,3.177,50126090
129,3.215,50126422
130,2.925,50126698
131,2.756,50127793
132,2.63,50128826
133,3.38,50129715
134,2.663,50131029
135,3.707,50131043
136,2.76,50135338
137,3.504,50135945
138,2.856,50137359
139,2.251,50138618
140,2.908,50138886
141,3.567,50139780
142,2.728,50140522
143,3.121,50143329
144,2.725,50145602
145,3.139,50145927
146,2.898,50146363
147,3.026,50148103
148,3.324,50148340
149,3.674,50148955
150,3.269,50149071
151,3.509,50149444
152,3.579,50149761
153,3.389,50149780
154,2.366,50152686
155,3.736,50153130
156,3.416,50155525
157,3.027,50155563
158,3.206,50156052
159,2.925,50156282
160,3.067,50158482
161,1.938,50158658
162,2.222,50161060
163,3.086,50162204
164,3.193,50165902
165,2.783,50168040
166,2.655,50169449
167,3.474,50169818
168,2.415,50171603
169,2.089,50172476
170,2.13,50174199
171,3.303,50174701
172,3.013,50175988
173,3.261,50176218
174,2.511,50176238
175,2.445,50176249
176,3.075,50177457
177,3.852,50178513
178,3.457,50178552
179,3.332,50179579
180,2.602,50179625
181,2.748,50179993
182,2.4,50180384
183,2.922,50182178
184,2.922,50183190
185,2.569,50184031
186,3.624,50184723
187,2.105,50184790
188,2.855,50186936
189,3.46,50187298
190,2.211,50187333
191,3.507,50188901
192,2.365,50190625
193,3.019,50191472
194,2.841,50193575
195,2.292,50194423
196,1.508,50197249
197,2.214,50198459
198,2.986,50198594
199,2.736,50199948
200,1.979,50202291
201,3.263,50207999
202,3.758,50208001
203,2.858,50210091
204,2.513,50212210
205,3.325,50212826
206,3.227,50213606
207,2.466,50213667
208,2.903,50214781
209,3.016,50215680
210,2.997,50217195
211,2.05,50217572
212,2.534,50218159
213,2.936,50219558
214,1.703,50219897
215,2.667,50223748
216,2.301,50225037
217,2.903,50225127
218,3.102,50227610
219,2.536,50227951
220,1.613,50228507
221,3.588,50228718
222,2.013,50229765
223,2.787,50230716
224,2.445,50230726
225,3.683,50230882
226,2.534,50232160
227,3.128,50232386
228,2.457,50233071
229,1.887,50233078
230,2.499,50233905
231,2.997,50234410
232,3.62,50235633
233,3.506,50236032
234,3.7,50236232
235,3.088,50236515
236,2.318,50236629
237,2.812,50237308
238,3.003,50237979
239,3.046,50239454
240,3.217,50240662
241,3.089,50240959
242,3.031,50242570
243,2.973,50243600
244,3.434,50245775
245,3.304,50251030
246,3.618,50252649
247,2.654,50253346
248,2.776,50254179
249,3.097,50254966
250,3.0,50255365
251,2.238,50255632
252,3.455,50259301
253,2.903,50259329
254,4.142,50259342
255,3.305,50259808
256,2.856,50259955
257,3.276,50261829
258,2.622,50262756
259,2.769,50263385
260,3.84,50265157
261,3.127,50266799
262,2.501,50268708
263,2.12,50269741
264,2.823,50270534
265,2.638,50271379
266,2.215,50271895
267,2.769,50272085
268,2.856,50272106
269,2.955,50272210
270,3.775,50272273
271,3.029,50272645
272,3.066,50272687
273,1.79,50273722
274,2.877,50274383
275,2.607,50275275
276,3.31,50276128
277,3.103,50276699
278,3.695,50277184
279,2.575,50279591
280,2.813,50282475
281,2.542,50283661
282,2.463,50283695
283,2.765,50284880
284,2.589,50286172
285,2.978,50287392
286,2.095,50287553
287,2.329,50287592
288,1.795,50287987
289,1.991,50289435
290,2.156,50289824
291,2.712,50290696
292,3.8,50293923
293,4.057,50294975
294,2.896,50295172
295,3.486,50295239
296,3.259,50296024
297,2.845,50297985
298,1.856,50298553
299,3.563,50299074
300,2.423,50299546
301,2.565,50300196
302,3.196,50301970
303,2.705,50302682
304,1.957,50304573
305,2.695,50304768
306,2.93,50305919
307,2.4,50307524
308,2.624,50309339
309,2.434,50309732
310,2.509,50312445
311,2.561,50312688
312,1.848,50313271
313,3.207,50313617
314,2.391,50313919
315,2.887,50314282
316,2.438,50314735
317,3.153,50315957
318,3.515,50316234
319,3.487,50317229
320,3.019,50318513
321,2.202,50318798
322,3.157,50319032
323,2.578,50319313
324,3.098,50319368
325,3.088,50320930
326,3.043,50322280
327,2.891,50322672
328,2.633,50322689
329,3.014,50323170
330,3.219,50323310
331,3.113,50323760
332,2.716,50325067
333,3.809,50326775
334,2.252,50328139
335,2.722,50329052
336,2.297,50329376
337,2.579,50331657
338,3.039,50332678
339,2.729,50333320
340,3.228,50334091
341,2.813,50334779
342,2.871,50334880
343,2.913,50335347
344,3.011,50335771
345,3.064,50336331
346,3.008,50337630
347,2.509,50337821
348,2.349,50339424
349,3.051,50340657
350,1.938,50340804
351,3.408,50342850
352,3.122,50344313
353,2.76,50344401
354,2.65,50345632
355,2.768,50345709
356,2.095,50347655
357,2.646,50348513
358,3.797,50348711
359,2.785,50349713
360,2.243,50349937
361,2.136,50350495
362,3.084,50352418
363,3.01,50352624
364,2.429,50353345
365,3.382,50356859
366,2.52,50356866
367,3.412,50357659
368,3.665,50358399
369,3.003,50358509
370,2.631,50361799
371,3.13,50362206
372,2.997,50362880
373,2.635,50363566
374,2.847,50363782
375,2.769,50364861
376,2.526,50365262
377,3.501,50366090
378,3.103,50366363
379,2.895,50367671
380,2.168,50368630
381,2.839,50369124
382,2.778,50369166
383,2.94,50369736
384,1.901,50369895
385,1.942,50370740
386,1.783,50370843
387,2.379,50371115
388,1.956,50371129
389,2.828,50374067
390,3.782,50378547
391,3.455,50381431
392,3.37,50382263
393,2.594,50382423
394,3.096,50384239
395,3.376,50385239
396,2.902,50386721
397,3.325,50387318
398,2.049,50388697
399,3.2,50389032
400,2.879,50389433
401,2.26,50389897
402,3.259,50390951
403,2.806,50391351
404,2.162,50391590
405,3.483,50394149
406,3.411,50394417
407,3.979,50395811
408,3.884,50397199
409,2.761,50398176
410,2.724,50398701
411,3.252,50399022
412,3.5,50399850
413,3.035,50402655
414,2.111,50406775
415,3.692,50407312
416,3.03,50408254
417,2.944,50408387
418,3.469,50408922
419,3.67,50409923
420,2.372,50410191
421,2.24,50410993
422,3.246,50412393
423,3.411,50412534
424,3.288,50412738
425,2.46,50413090
426,2.924,50415699
427,2.351,50416715
428,2.877,50416734
429,2.858,50420277
430,3.017,50420798
431,2.603,50421700
432,3.683,50421836
433,3.502,50422353
434,2.688,50422907
435,3.099,50424002
436,2.489,50424420
437,3.874,50424689
438,2.478,50426234
439,3.193,50429722
440,2.575,50432576
441,2.8,50432841
442,3.191,50433784
443,2.986,50434417
444,3.125,50434843
445,3.112,50435176
446,2.989,50435794
447,2.645,50436556
448,2.683,50437011
449,2.193,50439558
450,2.688,50440036
451,2.946,50440533
452,2.854,50440543
453,2.765,50441122
454,2.496,50441664
455,2.635,50442189
456,3.534,50444091
457,3.33,50444968
458,3.711,50446211
459,2.974,50448290
460,3.896,50448700
461,3.237,50449317
462,3.126,50450655
463,3.308,50450687
464,2.595,50451630
465,2.498,50454262
466,3.512,50454841
467,2.706,50455941
468,2.908,50456648
469,2.673,50456712
470,2.822,50457160
471,2.434,50458312
472,2.758,50458541
473,3.443,50458827
474,3.233,50459083
475,3.217,50460173
476,3.423,50460241
477,1.989,50460603
478,2.902,50460856
479,3.288,50462037
480,3.002,50462110
481,2.29,50463440
482,3.597,50463509
483,3.15,50463655
484,2.851,50463782
485,3.925,50464899
486,2.83,50465002
487,3.015,50465525
488,2.489,50468526
489,1.844,50468758
490,3.363,50469171
491,2.71,50470200
492,2.537,50470552
493,2.981,50470690
494,1.525,50471115
495,2.272,50472370
496,2.428,50472411
497,3.464,50472648
498,2.049,50473199
499,2.621,50473959
500,2.556,50474611
501,2.788,50474897
502,3.293,50475259
503,3.936,50476438
504,3.918,50479089
505,2.685,50480067
506,3.224,50480402
507,3.565,50481817
508,2.523,50483432
509,2.692,50485085
510,2.542,50485121
511,2.907,50485490
512,3.09,50485835
513,3.018,50489423
514,1.598,50493555
515,2.781,50496815
516,3.617,50497093
517,3.615,50497293
518,3.103,50498151
519,2.554,50498809
520,3.625,50502906
521,1.907,50503525
522,3.759,50505018
523,2.894,50507915
524,3.624,50507928
525,2.069,50508059
526,3.171,50509519
527,3.407,50509619
528,3.51,50510191
529,2.681,50512966
530,2.51,50513747
531,2.545,50514105
532,2.12,50519401
533,2.771,50521218
534,3.248,50521908
535,3.446,50524092
536,2.748,50524431
537,3.253,50524836
538,2.084,50526107
539,3.39,50527077
540,3.154,50529032
541,2.31,50529725
542,3.514,50530320
543,3.218,50531794
544,3.447,50532476
545,2.898,50532726
546,2.815,50533297
547,2.58,50533908
548,2.859,50535206
549,2.076,50538572
550,2.323,50539286
551,2.968,50540726
552,3.346,50541863
553,2.712,50544663
554,3.186,50544863
555,3.168,50544971
556,2.803,50545638
557,2.514,50547116
558,3.431,50548138
559,2.581,50549213
560,2.715,50550713
561,4.197,50550907
562,2.435,50552669
563,2.528,50552685
564,2.656,50552975
565,3.151,50553067
566,2.752,50553274
567,2.971,50553985
568,2.927,50554692
569,2.174,50555380
570,1.93,50556874
571,3.638,50556910
572,3.97,50556964
573,2.795,50557370
574,2.941,50557518
575,2.962,50558188
576,3.126,50560461
577,2.613,50561602
578,3.444,50562956
579,3.131,50565257
580,2.565,50566773
581,2.455,50569212
582,3.316,50570440
583,3.527,50570555
584,2.65,50570889
585,2.777,50571844
586,2.853,50573076
587,2.89,50573467
588,2.291,50574530
589,2.724,50578958
590,3.429,50579109
591,3.572,50579713
592,2.371,50579896
593,2.699,50581896
594,2.919,50582126
595,3.51,50583068
596,3.002,50583706
597,3.203,50584241
598,3.233,50586603
599,2.918,50587552
600,2.093,50587635
601,2.665,50587823
602,3.323,50587951
603,3.839,50588046
604,3.306,50589040
605,2.714,50589064
606,1.519,50589140
607,2.622,50592804
608,3.154,50594219
609,1.661,50594977
610,1.811,50597552
611,3.17,50598222
612,3.883,50599433
613,2.328,50600476
614,2.483,50600550
615,2.388,50601379
616,3.151,50603462
617,3.54,50604596
618,2.344,50604911
619,3.442,50605134
620,2.357,50606639
621,3.799,50607664
622,2.068,50607725
623,2.74,50607789
624,3.347,50608792
625,3.416,50610721
626,2.55,50610752
627,2.859,50611396
628,1.877,50613078
629,3.637,50613710
630,2.522,50615908
631,2.667,50616128
632,2.118,50618926
633,3.914,50619711
634,3.037,50621017
635,2.823,50621038
636,2.527,50621946
637,2.774,50621974
638,3.545,50622010
639,3.373,50622314
640,3.304,50622429
641,2.9,50622654
642,3.79,50623067
643,3.481,50624691
644,2.481,50625467
645,3.159,50626719
646,3.049,50627434
647,2.971,50630238
648,3.743,50631093
649,3.512,50632881
650,3.131,50633479
651,2.221,50633706
652,2.849,50634304
653,3.263,50635179
654,1.497,50635473
655,3.114,50635620
656,2.862,50635638
657,2.802,50639518
658,3.137,50639781
659,2.551,50640250
660,3.54,50640354
661,2.745,50642043
662,2.727,50642813
663,2.972,50643048
664,3.101,50644201
665,2.132,50644407
666,2.617,50644988
667,2.501,50645892
668,3.031,50645904
669,2.692,50647566
670,2.843,50647705
671,2.444,50648414
672,1.908,50649702
673,3.177,50651558
674,3.708,50652778
675,3.476,50655213
676,3.64,50655467
677,2.916,50656690
678,2.306,50660105
679,1.975,50661715
680,2.892,50662404
681,3.606,50663447
682,2.931,50663941
683,2.937,50666984
684,2.176,50671405
685,3.07,50671743
686,3.381,50672552
687,3.139,50673906
688,3.431,50674070
689,2.568,50675478
690,2.858,50675893
691,2.784,50675992
692,3.475,50676420
693,2.524,50678171
694,3.403,50679026
695,3.272,50680671
696,3.547,50680879
697,2.997,50680949
698,2.488,50681910
699,3.18,50682875
700,3.19,50685288
701,2.681,50686550
702,2.33,50688397
703,3.327,50690068
704,2.905,50690278
705,2.819,50690604
706,2.759,50691095
707,3.089,50692724
708,3.488,50694362
709,3.131,50696883
710,3.202,50697163
711,3.91,50700673
712,1.516,50701113
713,2.746,50701485
714,2.753,50702605
715,3.179,50704043
716,2.477,50704121
717,2.407,50704502
718,3.278,50705058
719,3.603,50705488
720,3.673,50706223
721,3.924,50706233
722,2.955,50707492
723,2.784,50707821
724,2.744,50708039
725,2.375,50709210
726,2.573,50709296
727,1.93,50709593
728,2.156,50711207
729,2.849,50711269
730,2.933,50711724
731,3.624,50711854
732,2.354,50712858
733,2.547,50713780
734,2.279,50715018
735,3.106,50717083
736,3.0,50720724
737,3.002,50723877
738,2.56,50725655
739,3.179,50726753
740,3.265,50726912
741,3.57,50727616
742,2.247,50728144
743,2.752,50730196
744,2.066,50730465
745,2.492,50730533
746,2.792,50731398
747,3.591,50732105
748,3.159,50732761
749,3.474,50732785
750,1.761,50734822
751,3.556,50737586
752,3.836,50738379
753,3.54,50738769
754,2.532,50740104
755,1.91,50740407
756,2.436,50740888
757,3.419,50742650
758,3.428,50743284
759,3.556,50743299
760,2.019,50745157
761,2.656,50745530
762,2.728,50746370
763,3.941,50746850
764,2.864,50747209
765,2.954,50749042
766,3.122,50750322
767,3.117,50751246
768,2.855,50753910
769,3.525,50754462
770,3.105,50755016
771,2.664,50755526
772,2.956,50755787
773,2.779,50755869
774,3.323,50756747
775,3.0,50757892
776,2.882,50758315
777,1.192,50758700
778,2.926,50758815
779,1.482,50761027
